original_discipline,new_discipline,original_ability,new_ability,mechanic_summary,rename_status,source_url,review_notes
Animator,Bonecaller,Craft Golem,Raise Stonebound,Summons a golem companion.,Renamed,https://morloch.shadowbaneemulator.com/index.php/Animator,Wiki flags this discipline as DNT.
Animator,Bonecaller,Repair Golem,Mend Construct,Restores health to the summoned construct.,Renamed,https://morloch.shadowbaneemulator.com/index.php/Animator,
Animator,Bonecaller,Imbue Golem,Awaken the Colossus,Temporarily improves the construct’s combat statistics.,Renamed,https://morloch.shadowbaneemulator.com/index.php/Animator,
Archer,Archer,Rapid Shot,Rapid Shot,Temporarily increases bow attack speed.,Kept,https://morloch.shadowbaneemulator.com/index.php/Archer,Wiki flags this ability as DNT.
Archer,Archer,Fusillade,Fusillade,Temporarily increases crossbow attack speed.,Kept,https://morloch.shadowbaneemulator.com/index.php/Archer,Wiki flags this ability as DNT.
Archer,Archer,Precision,Precision,Temporarily increases bow attack rating.,Kept,https://morloch.shadowbaneemulator.com/index.php/Archer,
Archer,Archer,Thread the Needle,Thread the Needle,Temporarily increases crossbow attack rating.,Kept,https://morloch.shadowbaneemulator.com/index.php/Archer,
Archmage,Archmage,Litany of Will,Litany of Will,"Improves intelligence, power damage, and mana recovery.",Kept,https://morloch.shadowbaneemulator.com/index.php/Archmage,
Archmage,Archmage,Chant of Mastery,Chant of Mastery,Grants temporary immunity to power blocking.,Kept,https://morloch.shadowbaneemulator.com/index.php/Archmage,
Archmage,Archmage,Arcane Doom,Arcane Doom,Reduces a target’s power damage and stamina recovery.,Kept,https://morloch.shadowbaneemulator.com/index.php/Archmage,
Artillerist,Artillerist,Heavy Volley,Heavy Volley,Improves siege-engine attack and damage.,Kept,https://morloch.shadowbaneemulator.com/index.php/Artillerist,
Artillerist,Artillerist,Engineer Ballista,Engineer Ballista,Summons a controllable ballista.,Kept,https://morloch.shadowbaneemulator.com/index.php/Artillerist,
Artillerist,Artillerist,Field Repairs,Field Repairs,Improves siege regeneration while reducing its damage.,Kept,https://morloch.shadowbaneemulator.com/index.php/Artillerist,
Artillerist,Artillerist,Leaden Rig,Leaden Rig,Trades physical durability for greater spell resistance on a siege engine.,Kept,https://morloch.shadowbaneemulator.com/index.php/Artillerist,
Artillerist,Artillerist,Command Siege Engine,Command Siege Engine,Allows control of a siege engine.,Kept,https://morloch.shadowbaneemulator.com/index.php/Artillerist,
Battle Magus,War Arcanist,Scry,War-Sight,Reveals nearby players or hidden threats.,Renamed,https://morloch.shadowbaneemulator.com/index.php/Battle_Magus,Suggested to fit War Arcanist identity.
Battle Magus,War Arcanist,Demolishing Spell,Siege Hex,Applies magical damage over time to structures.,Renamed,https://morloch.shadowbaneemulator.com/index.php/Battle_Magus,
Battle Magus,War Arcanist,Skirmish Counterspell,Battlefield Nullification,Dispels elemental and magical effects in an area.,Renamed,https://morloch.shadowbaneemulator.com/index.php/Battle_Magus,
Belgosch,Blood Zealot,Unnatural Fortitude,Zealot's Endurance,Improves personal toughness and damage mitigation.,Renamed,https://morloch.shadowbaneemulator.com/index.php/Belgosch,
Belgosch,Blood Zealot,Bloodgift,Crimson Offering,Transfers the caster’s health to an ally.,Renamed,https://morloch.shadowbaneemulator.com/index.php/Belgosch,
Belgosch,Blood Zealot,Crimson Feast,Blood Communion,Drains health from an enemy.,Renamed,https://morloch.shadowbaneemulator.com/index.php/Belgosch,
Belgosch,Blood Zealot,Summon,Call of the Bloodbound,Summons another player to the caster.,Renamed,https://morloch.shadowbaneemulator.com/index.php/Belgosch,
Berserker,Berserker,Unleash the Rage,Unleash the Rage,Activates an offensive rage state.,Kept,https://morloch.shadowbaneemulator.com/index.php/Berserker,
Berserker,Berserker,Fury of the Northmen,Fury of the Northmen,Improves offensive combat performance.,Kept,https://morloch.shadowbaneemulator.com/index.php/Berserker,
Berserker,Berserker,Strength of the Stag,Strength of the Stag,Temporarily increases strength.,Kept,https://morloch.shadowbaneemulator.com/index.php/Berserker,
Black Mask,Executioner,Detect Hidden,Mark the Hidden,Reveals hidden characters.,Renamed,https://morloch.shadowbaneemulator.com/index.php/Black_Mask,
Black Mask,Executioner,Passwall,Death's Passage,Allows passage through certain walls or barriers.,Renamed,https://morloch.shadowbaneemulator.com/index.php/Black_Mask,
Black Mask,Executioner,Backstab,Executioner's Ambush,Delivers a powerful attack from an advantageous position.,Renamed,https://morloch.shadowbaneemulator.com/index.php/Black_Mask,
Black Mask,Executioner,Pellegorn,Mortal Sentence,Applies health damage over time and hinders recovery.,Renamed,https://morloch.shadowbaneemulator.com/index.php/Black_Mask,Original name appears setting-specific.
Black Mask,Executioner,Magusbane,Mage's Sentence,Damages mana over time and reduces mana recovery.,Renamed,https://morloch.shadowbaneemulator.com/index.php/Black_Mask,
Black Mask,Executioner,Buchinine,Crippling Sentence,Damages stamina over time and grounds the target.,Renamed,https://morloch.shadowbaneemulator.com/index.php/Black_Mask,Original name appears setting-specific.
Blade Master,Blade Master,Feint,Feint,Creates an opening by deceiving the opponent.,Kept,https://morloch.shadowbaneemulator.com/index.php/Blade_Master,
Blade Master,Blade Master,Find Weakness,Find Weakness,Improves effectiveness against a vulnerable target.,Kept,https://morloch.shadowbaneemulator.com/index.php/Blade_Master,
Blade Master,Blade Master,Riposte,Riposte,Counters an incoming melee attack.,Kept,https://morloch.shadowbaneemulator.com/index.php/Blade_Master,
Blade Master,Blade Master,Whirlwind Attack,Whirlwind Attack,Strikes multiple nearby enemies.,Kept,https://morloch.shadowbaneemulator.com/index.php/Blade_Master,
Blade Weaver,Blade Weaver,Feint,Feint,Creates an opening by deceiving the opponent.,Kept,https://morloch.shadowbaneemulator.com/index.php/Blade_Weaver,
Blade Weaver,Blade Weaver,Find Weakness,Find Weakness,Improves effectiveness against a vulnerable target.,Kept,https://morloch.shadowbaneemulator.com/index.php/Blade_Weaver,
Blade Weaver,Blade Weaver,Riposte,Riposte,Counters an incoming melee attack.,Kept,https://morloch.shadowbaneemulator.com/index.php/Blade_Weaver,
Blade Weaver,Blade Weaver,Blade Dance,Blade Dance,Performs a rapid multi-target blade attack.,Kept,https://morloch.shadowbaneemulator.com/index.php/Blade_Weaver,
